links_Name_name,links_Mov1_Name,links_Mov2_Mov2,links_Mov3_Mov3,links_Mov4_Mov4,links_Nature_Nature,links_Held_Item_Held_Item,links_Ability_Ability
,,,,,,Red Orb,
,,,,,,Kangaskhanite,
,,,,,,Life Orb,
,,,,,,Power Herb,
,,,,,,Salanencite,
,,,,,,Focus Sash,
,,,,,,Gengarite,
,,,,,,Red Orb,
,,,,,,Lum Berry,
,,,,,,Mental Herb,
,,,,,,Focus Sash,
,,,,,,Blue Orb,
,,,,,,Kangaskhanite,
,,,,,,Salamencite,
,,,,,,Power Herb,
,,,,,,Focus Sash,
,,,,,,Life Orb,
,,,,,,Red Orb,
,,,,,,Blue Orb,
,,,,,,Focus Sash,
,,,,,,Mawilite,
,,,,,,Life Orb,
,,,,,,Lum Berry,
,,,,,,Chesto Berry,
,,,,,,Blue Orb,
,,,,,,Focus Sash,
,,,,,,Coba Berry,
,,,,,,Kangaskhanite,
,,,,,,Sitrus Berry,
,,,,,,Iron Ball,
,,,,,,Red Orb,
,,,,,,Blue Orb,
,,,,,,Salamencite,
,,,,,,Kangaskhanite,
,,,,,,Lum Berry,
,,,,,,Focus Sash,
,,,,,,Eject Button,
,,,,,,Focus Sash,
,,,,,,Gengarite,
,,,,,,Blue Orb,
,,,,,,Assault Vest,
,,,,,,Lum Berry,
,,,,,,,Drizzle
,,,,,,,Inner Focus
,,,,,,,Prankster
,,,,,,,Levitate
,,,,,,,Levitate
,,,,,,,Drought
,,,,,,,Drought
,,,,,,,Inner Focus
,,,,,,,Gale Wings
,,,,,,,Fairy Aura
,,,,,,,Intimidate
,,,,,,,Moody
,,,,,,,Levitate
,,,,,,,Drought
,,,,,,,Justified
,,,,,,,Inner Focus
,,,,,,,Prankster
,,,,,,,Drizzle
,,,,,,,Scrappy
,,,,,,,Intimidate
,,,,,,,Fairy Aura
,,,,,,,Moody
,,,,,,,Gale Wings
,,,,,,,Drought
,,,,,,,Drizzle
,,,,,,,Air Lock
,,,,,,,Intimidate
,,,,,,,Intimidate
,,,,,,,Levitate
,,,,,,,Regenerator
,,,,,,,Drizzle
,,,,,,,Air Lock
,,,,,,,Regenerator
,,,,,,,Inner Focus
,,,,,,,Prankster
,,,,,,,Stance Change
,,,,,,,Drought
,,,,,,,Drizzle
,,,,,,,Intimidate
,,,,,,,Scrappy
,,,,,,,Levitate
,,,,,,,Prankster
,,,,,,,Intimidate
,,,,,,,Air Lock
,,,,,,,Levitate
,,,,,,,Drizzle
,,,,,,,Lightning Rod
,,,,,,,Levitate
Kyogre,,,,,,,
Rayquaza,,,,,,,
Togekiss,,,,,,,
Thundurus,,,,,,,
Scizor,,,,,,,
Hitmontop,,,,,,,
Kangaskhan,,,,,,,
Cresselia,,,,,,,
Whimsicott,,,,,,,
Ferrothorn,,,,,,,
Groudon,,,,,,,
Kyogre,,,,,,,
Talonflame,,,,,,,
Groudon,,,,,,,
Xerneas,,,,,,,
Salamence,,,,,,,
Smeargle,,,,,,,
Kangaskhan,,,,,,,
Xerneas,,,,,,,
Talonflame,,,,,,,
Smeargle,,,,,,,
Groudon,,,,,,,
Salamence,,,,,,,
Kangaskhan,,,,,,,
Kangaskhan,,,,,,,
Kyogre,,,,,,,
Rayquaza,,,,,,,
Mawile,,,,,,,
Raichu,,,,,,,
Smeargle,,,,,,,
Kangaskhan,,,,,,,
Kyurem,,,,,,,
Groudon,,,,,,,
Cresselia,,,,,,,
Ferrothorn,,,,,,,
Talonflame,,,,,,,
Kangaskhan,,,,,,,
Smeargle,,,,,,,
Salamence,,,,,,,
Xerneas,,,,,,,
Groudon,,,,,,,
Cresselia,,,,,,,
Xerneas,,,,,,,
Thundurus,,,,,,,
Kangaskhan,,,,,,,
Salamence,,,,,,,
Cresselia,,,,,,,
Groudon,,,,,,,
,Scald,,,,,,
,Extreme Speed,,,,,,
,Air Slash,,,,,,
,Thunderbolt,,,,,,
,Bullet Punch,,,,,,
,Fake Out,,,,,,
,Fake Out,,,,,,
,Ice Beam,,,,,,
,Moonblast,,,,,,
,Gyro Ball,,,,,,
,Eruption,,,,,,
,Scald,,,,,,
,Brave Bird,,,,,,
,Precipice Blades,,,,,,
,Dazzling Gleam,,,,,,
,Double-Edge,,,,,,
,Dark Void,,,,,,
,Double-Edge,,,,,,
,Geomancy,,,,,,
,Brave Bird,,,,,,
,Fake Out,,,,,,
,Fire Punch,,,,,,
,Hyper Voice,,,,,,
,Fake Out,,,,,,
,Return,,,,,,
,Water Spout,,,,,,
,Dragon Ascent,,,,,,
,Iron Head,,,,,,
,Nuzzle,,,,,,
,Dark Void,,,,,,
,Sucker Punch,,,,,,
,Draco Meteor,,,,,,
,Fire Punch,,,,,,
,Gravity,,,,,,
,Gyro Ball,,,,,,
,Brave Bird,,,,,,
,Sucker Punch,,,,,,
,Dark Void,,,,,,
,Double-Edge,,,,,,
,Geomancy,,,,,,
,Eruption,,,,,,
,Magic Coat,,,,,,
,Geomancy,,,,,,
,Thunder Wave,,,,,,
,Fake Out,,,,,,
,Double-Edge,,,,,,
,Magic Coat,,,,,,
,Precipice Blades,,,,,,
,,Origin Pulse,,,,,
,,Protect,,,,,
,,Follow Me,,,,,
,,Hidden Power,,,,,
,,Bug Bite,,,,,
,,Feint,,,,,
,,Power-Up Punch,,,,,
,,Helping Hand,,,,,
,,Safeguard,,,,,
,,Power Whip,,,,,
,,Earth Power,,,,,
,,Ice Beam,,,,,
,,Taunt,,,,,
,,Fire Punch,,,,,
,,Geomancy,,,,,
,,Hyper Voice,,,,,
,,Crafty Shield,,,,,
,,Low Kick,,,,,
,,Moonblast,,,,,
,,Flare Blitz,,,,,
,,Dark Void,,,,,
,,Precipice Blades,,,,,
,,Tailwind,,,,,
,,Return,,,,,
,,Sucker Punch,,,,,
,,Scald,,,,,
,,Extreme Speed,,,,,
,,Sucker Punch,,,,,
,,Feint,,,,,
,,Fake Out,,,,,
,,Double-Edge,,,,,
,,Blizzard,,,,,
,,Precipice Blades,,,,,
,,Skill Swap,,,,,
,,Protect,,,,,
,,Flare Blitz,,,,,
,,Low Kick,,,,,
,,Spiky Shield,,,,,
,,Hyper Voice,,,,,
,,Dazzling Gleam,,,,,
,,Thunder,,,,,
,,Trick Room,,,,,
,,Moonblast,,,,,
,,Protect,,,,,
,,Sucker Punch,,,,,
,,Hyper Voice,,,,,
,,Icy Wind,,,,,
,,Fire Punch,,,,,
,,,Icy Wind,,,,
,,,Dragon Ascent,,,,
,,,Tailwind,,,,
,,,Thunder Wave,,,,
,,,Swords Dance,,,,
,,,Close Combat,,,,
,,,Return,,,,
,,,Skill Swap,,,,
,,,Tailwind,,,,
,,,Worry Seed,,,,
,,,Precipice Blades,,,,
,,,Water Spout,,,,
,,,Quick Guard,,,,
,,,Rock Slide,,,,
,,,Moonblast,,,,
,,,Tailwind,,,,
,,,Wide Guard,,,,
,,,Sucker Punch,,,,
,,,Dazzling Gleam,,,,
,,,Tailwind,,,,
,,,Follow Me,,,,
,,,Substitute,,,,
,,,Double-Edge,,,,
,,,Power-Up Punch,,,,
,,,Low Kick,,,,
,,,Protect,,,,
,,,Icy Wind,,,,
,,,Play Rough,,,,
,,,Encore,,,,
,,,Transform,,,,
,,,Low Kick,,,,
,,,Ice Beam,,,,
,,,Protect,,,,
,,,Ice Beam,,,,
,,,Power Whip,,,,
,,,Quick Guard,,,,
,,,Double-Edge,,,,
,,,Wide Guard,,,,
,,,Tailwind,,,,
,,,Moonblast,,,,
,,,Earth Power,,,,
,,,Icy Wind,,,,
,,,Dazzling Gleam,,,,
,,,Taunt,,,,
,,,Double-Edge,,,,
,,,Draco Meteor,,,,
,,,Skill Swap,,,,
,,,Rock Slide,,,,
,,,,Protect,,,
,,,,Swords Dance,,,
,,,,Safeguard,,,
,,,,Taunt,,,
,,,,Protect,,,
,,,,Wide Guard,,,
,,,,Sucker Punch,,,
,,,,Trick Room,,,
,,,,Trick Room,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Tailwind,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Follow Me,,,
,,,,Fake Out,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Spiky Shield,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Sucker Punch,,,
,,,,Fake Out,,,
,,,,Icy Wind,,,
,,,,Earth Power,,,
,,,,Protect,,,
,,,,Fake Out,,,
,,,,Quick Guard,,,
,,,,Fake Out,,,
,,,,Fusion Flare,,,
,,,,Substitute,,,
,,,,Trick Room,,,
,,,,Leech Seed,,,
,,,,Tailwind,,,
,,,,Fake Out,,,
,,,,Fake Out,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Helping Hand,,,
,,,,Protect,,,
,,,,Thunderbolt,,,
,,,,Power-Up Punch,,,
,,,,Protect,,,
,,,,Helping Hand,,,
,,,,Protect,,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Calm,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Adamant,,
,,,,,Jolly,,
,,,,,Sassy,,
,,,,,Timid,,
,,,,,Sassy,,
,,,,,Brave,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Hasty,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Naive,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Adamant,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Brave,,
,,,,,Sassy,,
,,,,,Brave,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Naive,,
,,,,,Bold,,
,,,,,Modest,,
,,,,,Bold,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Naive,,
,,,,,Calm,,
,,,,,Adamant,,
,,,,,,Blue Orb,
,,,,,,Focus Sash,
,,,,,,Lum Berry,
,,,,,,Chesto Berry,
,,,,,,Life Orb,
,,,,,,Rocky Helmet,
,,,,,,Kangaskhanite,
,,,,,,Sitrus Berry,
,,,,,,Focus Sash,
,,,,,,Lum Berry,
,,,,,,Red Orb,
,,,,,,Blue Orb,
,,,,,,Life Orb,
,,,,,,Red Orb,
,,,,,,Power Herb,
,,,,,,Salamencite,
,,,,,,Focus Sash,
,,,,,,Kangaskhanite,
,,,,,,Power Herb,
,,,,,,Life Orb,
,,,,,,Focus Sash,
,,,,,,Red Orb,
,,,,,,Salamencite,
,,,,,,Kangaskhanite,
,,,,,,Kangaskhanite,
,,,,,,Blue Orb,
,,,,,,Assault Vest,
,,,,,,Mawilite,
,,,,,,Focus Sash,
,,,,,,Choice Scarf,
,,,,,,Kangaskhanite,
,,,,,,Choice Scarf,
,,,,,,Red Orb,
,,,,,,Mental Herb,
,,,,,,Leftovers,
,,,,,,Lum Berry,
,,,,,,Kangaskhanite,
,,,,,,Focus Sash,
,,,,,,Salamencite,
,,,,,,Power Herb,
,,,,,,Red Orb,
,,,,,,Mental Herb,
,,,,,,Power Herb,
,,,,,,Focus Slash,
,,,,,,Kangaskhanite,
,,,,,,Salmencite,
,,,,,,Sitrus Berry,
,,,,,,Red Orb,
,,,,,,,Drizzle
,,,,,,,Air Lock
,,,,,,,Serene Grace
,,,,,,,Prankster
,,,,,,,Technician
,,,,,,,Intimidate
,,,,,,,Inner Focus
,,,,,,,Levitate
,,,,,,,Prankster
,,,,,,,Iron Barbs
,,,,,,,Drought
,,,,,,,Drizzle
,,,,,,,Gale Wings
,,,,,,,Drought
,,,,,,,Fairy Aura
,,,,,,,Intimidate
,,,,,,,Moody
,,,,,,,Inner Focus
,,,,,,,Fairy Aura
,,,,,,,Gale Wings
,,,,,,,Moody
,,,,,,,Drought
,,,,,,,Intimidate
,,,,,,,Scrappy
,,,,,,,Scrappy
,,,,,,,Drizzle
,,,,,,,Air Lock
,,,,,,,Intimidate
,,,,,,,Lightning Rod
,,,,,,,Own Tempo
,,,,,,,Inner Focus
,,,,,,,Turboblaze
,,,,,,,Drought
,,,,,,,Levitate
,,,,,,,Iron Barbs
,,,,,,,Gale Wings
,,,,,,,Scrappy
,,,,,,,Moody
,,,,,,,Intimidate
,,,,,,,Fairy Aura
,,,,,,,Drought
,,,,,,,Levitate
,,,,,,,Fairy Aura
,,,,,,,Prankster
,,,,,,,Inner Focus
,,,,,,,Intimidate
,,,,,,,Levitate
,,,,,,,Drought
Krookodile,,,,,,,
Whimsicott,,,,,,,
Tapu Fini,,,,,,,
Marowak,,,,,,,
Celesteela,,,,,,,
Tapu Koko,,,,,,,
Ninetales,,,,,,,
Arcanine,,,,,,,
Garchomp,,,,,,,
Mandibuzz,,,,,,,
Tapu Lele,,,,,,,
Xurkitree,,,,,,,
Tapu Koko,,,,,,,
Salamence,,,,,,,
Snorlax,,,,,,,
Persian,,,,,,,
Marowak,,,,,,,
Celesteela,,,,,,,
Nihilego,,,,,,,
Tapu Koko,,,,,,,
Salamence,,,,,,,
Metagross,,,,,,,
Buzzwole,,,,,,,
Gastrodon,,,,,,,
Tapu Koko,,,,,,,
Persian,,,,,,,
Snorlax,,,,,,,
Arcanine,,,,,,,
Nihilego,,,,,,,
Mimikyu,,,,,,,
Golduck,,,,,,,
Politoed,,,,,,,
Tapu Koko,,,,,,,
Buzzwole,,,,,,,
Klefki,,,,,,,
Muk,,,,,,,
Tapu Koko,,,,,,,
Arcanine,,,,,,,
Garchomp,,,,,,,
Tapu Fini,,,,,,,
Hariyama,,,,,,,
Celesteela,,,,,,,
Porygon2,,,,,,,
Tapu Koko,,,,,,,
Arcanine,,,,,,,
Kartana,,,,,,,
Araquanid,,,,,,,
Nihilego,,,,,,,
,Earthquake,,,,,,
,Nature Power,,,,,,
,Moonblast,,,,,,
,Flare Blitz,,,,,,
,Heavy Slam,,,,,,
,Thunderbolt,,,,,,
,Icy Wind,,,,,,
,Flare Blitz,,,,,,
,Earthquake,,,,,,
,Foul Play,,,,,,
,Moonblast,,,,,,
,Thunderbolt,,,,,,
,Volt Switch,,,,,,
,Fly,,,,,,
,Facade,,,,,,
,Fake Out,,,,,,
,Flare Blitz,,,,,,
,Heavy Slam,,,,,,
,Sludge Bomb,,,,,,
,Thunderbolt,,,,,,
,Draco Meteor,,,,,,
,Bullet Punch,,,,,,
,Superpower,,,,,,
,Scald,,,,,,
,Thunderbolt,,,,,,
,Fake Out,,,,,,
,Frustration,,,,,,
,Flare Blitz,,,,,,
,Sludge Bomb,,,,,,
,Play Rough,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Superpower,,,,,,
,Metal Sound,,,,,,
,Protect,,,,,,
,Discharge,,,,,,
,Flare Blitz,,,,,,
,Rock Slide,,,,,,
,Moonblast,,,,,,
,Close Combat,,,,,,
,Flamethrower,,,,,,
,Recover,,,,,,
,Protect,,,,,,
,Flare Blitz,,,,,,
,Leaf Blade,,,,,,
,Protect,,,,,,
,Power Gem,,,,,,
,,Crunch,,,,,
,,Tailwind,,,,,
,,Muddy Water,,,,,
,,Shadow Bone,,,,,
,,Flamethrower,,,,,
,,Dazzling Gleam,,,,,
,,Disable,,,,,
,,Bulldoze,,,,,
,,Rock Slide,,,,,
,,Taunt,,,,,
,,Psyshock,,,,,
,,Dazzling Gleam,,,,,
,,Dazzling Gleam,,,,,
,,Dragon Dance,,,,,
,,Belly Drum,,,,,
,,Quash,,,,,
,,Shadow Bone,,,,,
,,Leech Seed,,,,,
,,Power Gem,,,,,
,,Volt Switch,,,,,
,,Flamethrower,,,,,
,,Zen Headbutt,,,,,
,,Poison Jab,,,,,
,,Toxic,,,,,
,,Dazzling Gleam,,,,,
,,Foul Play,,,,,
,,Belly Drum,,,,,
,,Extreme Speed,,,,,
,,Power Gem,,,,,
,,Shadow Sneak,,,,,
,,Scald,,,,,
,,Scald,,,,,
,,Thunder,,,,,
,,Poison Jab,,,,,
,,Light Screen,,,,,
,,Gunk Shot,,,,,
,,Thunderbolt,,,,,
,,Protect,,,,,
,,Earthquake,,,,,
,,Swagger,,,,,
,,Fake Out,,,,,
,,Heavy Slam,,,,,
,,Trick Room,,,,,
,,Dazzling Gleam,,,,,
,,Roar,,,,,
,,Sword Dance,,,,,
,,Substitute,,,,,
,,Sludge Bomb,,,,,
,,,Taunt,,,,
,,,Charm,,,,
,,,Dazzling Gleam,,,,
,,,Brick Break,,,,
,,,Leech Seed,,,,
,,,Discharge,,,,
,,,Aurora Veil,,,,
,,,Helping Hand,,,,
,,,Swords Dance,,,,
,,,Tailwind,,,,
,,,Calm Mind,,,,
,,,Tail Glow,,,,
,,,Electro Ball,,,,
,,,Earthquake,,,,
,,,High Horsepower,,,,
,,,Foul Play,,,,
,,,Protect,,,,
,,,Protect,,,,
,,,Trick Room,,,,
,,,Dazzling Gleam,,,,
,,,Bulldoze,,,,
,,,Hammer Arm,,,,
,,,Ice Punch,,,,
,,,Recover,,,,
,,,Volt Switch,,,,
,,,Quash,,,,
,,,Recycle,,,,
,,,Helping Hand,,,,
,,,Hidden Power,,,,
,,,Psych Up,,,,
,,,Hydro Pump,,,,
,,,Encore,,,,
,,,Dazzling Gleam,,,,
,,,Ice Punch,,,,
,,,Reflect,,,,
,,,Knock Off,,,,
,,,Volt Switch,,,,
,,,Extreme Speed,,,,
,,,Protect,,,,
,,,Scald,,,,
,,,Feint,,,,
,,,Leech Seed,,,,
,,,Return,,,,
,,,Volt Switch,,,,
,,,Extreme Speed,,,,
,,,Sacred Sword,,,,
,,,Liquidation,,,,
,,,Acid Spray,,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Ice Beam,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Roar,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Roost,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Sky Drop,,,
,,,,Protect,,,
,,,,Recycle,,,
,,,,Parting Shot,,,
,,,,Will-O-Wisp,,,
,,,,Wide Guard,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Dragon Tail,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Clear Smog,,,
,,,,Protect,,,
,,,,Parting Shot,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Acid Spray,,,
,,,,Trick Room,,,
,,,,Disable,,,
,,,,Perish Song,,,
,,,,Volt Switch,,,
,,,,Bulldoze,,,
,,,,Flash Cannon,,,
,,,,Flamethrower,,,
,,,,Dazzling Gleam,,,
,,,,Roar,,,
,,,,Swords Dance,,,
,,,,Taunt,,,
,,,,Wide Guard,,,
,,,,Protect,,,
,,,,Ice Beam,,,
,,,,Thunderbolt,,,
,,,,Helping Hand,,,
,,,,Protect,,,
,,,,Wide Guard,,,
,,,,Hidden Power,,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Modest,,
,,,,,Careful,,
,,,,,Careful,,
,,,,,Modest,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Adamant,,
,,,,,Calm,,
,,,,,Modest,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Impish,,
,,,,,Jolly,,
,,,,,Adamant,,
,,,,,Impish,,
,,,,,Bold,,
,,,,,Timid,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Adamant,,
,,,,,Calm,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Calm,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Bold,,
,,,,,Sassy,,
,,,,,Timid,,
,,,,,Careful,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Careful,,
,,,,,Adamant,,
,,,,,Relaxed,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Jolly,,
,,,,,Brave,,
,,,,,Modest,,
,,,,,,Groundium Z,
,,,,,,Normalium Z,
,,,,,,Choice Specs,
,,,,,,Thick Club,
,,,,,,Leftovers,
,,,,,,Life Orb,
,,,,,,Light Clay,
,,,,,,Mago Berry,
,,,,,,Groundium Z,
,,,,,,Psychic Seed,
,,,,,,Wiki Berry,
,,,,,,Iapapa Berry,
,,,,,,Choice Scarf,
,,,,,,Flyinium Z,
,,,,,,Mago Berry,
,,,,,,Figy Berry,
,,,,,,Thick Club,
,,,,,,Leftovers,
,,,,,,Wiki Berry,
,,,,,,Electrium Z,
,,,,,,Assault Vest,
,,,,,,Weakness Policy,
,,,,,,Fightium Z,
,,,,,,Sitrus Berry,
,,,,,,Electrium Z,
,,,,,,Wiki Berry,
,,,,,,Mago Berry,
,,,,,,Figy Berry,
,,,,,,Choice Scarf,
,,,,,,Fairium Z,
,,,,,,Waterium Z,
,,,,,,Mago Berry,
,,,,,,Life Orb,
,,,,,,Assault Vest,
,,,,,,Wiki Berry,
,,,,,,Figy Berry,
,,,,,,Choice Specs,
,,,,,,Aguav Berry,
,,,,,,Groundium Z,
,,,,,,Wiki Berry,
,,,,,,Figy Berry,
,,,,,,Wacan Berry,
,,,,,,Eviolite,
,,,,,,Life Orb,
,,,,,,Aguav Berry,
,,,,,,Focus Sash,
,,,,,,Waterium Z,
,,,,,,Choice Scarf,
,,,,,,,Intimidate
,,,,,,,Prankster
,,,,,,,Misty Terrain
,,,,,,,Lightning Rod
,,,,,,,Beast Boost
,,,,,,,Electric Terrain
,,,,,,,Snow Warning
,,,,,,,Intimidate
,,,,,,,Rough Skin
,,,,,,,Overcoat
,,,,,,,Psychic Surge
,,,,,,,Beast Boost
,,,,,,,Electric Surge
,,,,,,,Intimidate
,,,,,,,Gluttony
,,,,,,,Fur Coat
,,,,,,,Lightning Rod
,,,,,,,Beast Boost
,,,,,,,Beast Boost
,,,,,,,Electric Terrain
,,,,,,,Intimidate
,,,,,,,Clear Body
,,,,,,,Beast Boost
,,,,,,,Storm Drain
,,,,,,,Electric Surge
,,,,,,,Fur Coat
,,,,,,,Gluttony
,,,,,,,Intimidate
,,,,,,,Beast Boost
,,,,,,,Disguise
,,,,,,,Swift Swim
,,,,,,,Drizzle
,,,,,,,Electric Surge
,,,,,,,Beast Boost
,,,,,,,Prankster
,,,,,,,Gluttony
,,,,,,,Electric Surge
,,,,,,,Intimidate
,,,,,,,Rough Skin
,,,,,,,Misty Surge
,,,,,,,Thick Fat
,,,,,,,Beast Boost
,,,,,,,Download
,,,,,,,Electric Surge
,,,,,,,Intimidate
,,,,,,,Beast Boost
,,,,,,,Water Bubble
,,,,,,,Beast Boost
Porygon2,,,,,,,
Tapu Koko,,,,,,,
Arcanine,,,,,,,
Kartana,,,,,,,
Araquanid,,,,,,,
Mudsdale,,,,,,,
Tapu Koko,,,,,,,
Tapu Fini,,,,,,,
Arcanine,,,,,,,
Gigalith,,,,,,,
Kartana,,,,,,,
Porygon2,,,,,,,
Porygon2,,,,,,,
Araquanid,,,,,,,
Tapu Koko,,,,,,,
Tapu Bulu,,,,,,,
Arcanine,,,,,,,
Mudsdale,,,,,,,
Araquanid,,,,,,,
Arcanine,,,,,,,
Porygon2,,,,,,,
Mudsdale,,,,,,,
Tapu Bulu,,,,,,,
Tapu Koko,,,,,,,
Whimsicott,,,,,,,
Tapu Koko,,,,,,,
Tapu Fini,,,,,,,
Celesteela,,,,,,,
Porygon2,,,,,,,
Gigalith,,,,,,,
Tapu Fini,,,,,,,
Arcanine,,,,,,,
Kartana,,,,,,,
Tapu Koko,,,,,,,
Porygon2,,,,,,,
Gigalith,,,,,,,
Tapu Koko,,,,,,,
Arcanine,,,,,,,
Tapu Lele,,,,,,,
Metagross,,,,,,,
Garchomp,,,,,,,
Mandibuzz,,,,,,,
Arcanine,,,,,,,
Snorlax,,,,,,,
Celesteela,,,,,,,
Ninetales,,,,,,,
Tapu Koko,,,,,,,
Gastrodon,,,,,,,
,Ice Beam,,,,,,
,Thunderbolt,,,,,,
,Flare Blitz,,,,,,
,Leaf Blade,,,,,,
,Liquidation,,,,,,
,High Horsepower,,,,,,
,Thunderbolt,,,,,,
,Muddy Water,,,,,,
,Flare Blitz,,,,,,
,Rock Slide,,,,,,
,Leaf Blade,,,,,,
,Thunderbolt,,,,,,
,Recover,,,,,,
,Liquidation,,,,,,
,Thunderbolt,,,,,,
,Wood Hammer,,,,,,
,Flare Blitz,,,,,,
,High Horsepower,,,,,,
,Liquidation,,,,,,
,Flare Blitz,,,,,,
,Recover,,,,,,
,Close Combat,,,,,,
,Wood Hammer,,,,,,
,Thunderbolt,,,,,,
,Nature Power,,,,,,
,Thunderbolt,,,,,,
,Muddy Water,,,,,,
,Heavy Slam,,,,,,
,Ice Beam,,,,,,
,Stone Edge,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Protect,,,,,,
,Nature's Madness,,,,,,
,Trick Room,,,,,,
,Protect,,,,,,
,Thunderbolt,,,,,,
,Flare Blitz,,,,,,
,Psychic,,,,,,
,Zen Headbutt,,,,,,
,Earthquake,,,,,,
,Foul Play,,,,,,
,Protect,,,,,,
,Recycle,,,,,,
,Leech Seed,,,,,,
,Protect,,,,,,
,Thunderbolt,,,,,,
,Scald,,,,,,
,,Thunderbolt,,,,,
,,Volt Switch,,,,,
,,Will-O-Wisp,,,,,
,,Sacred Sword,,,,,
,,Bug Bite,,,,,
,,Close Combat,,,,,
,,Volt Switch,,,,,
,,Moonblast,,,,,
,,Extreme Speed,,,,,
,,Stone Edge,,,,,
,,Smart Strike,,,,,
,,Ice Beam,,,,,
,,Toxic,,,,,
,,Bug Bite,,,,,
,,Discharge,,,,,
,,Hidden Power,,,,,
,,Extreme Speed,,,,,
,,Close Combat,,,,,
,,Bug Bite,,,,,
,,Extreme Speed,,,,,
,,Toxic,,,,,
,,Heavy Slam,,,,,
,,Hidden Power,,,,,
,,Discharge,,,,,
,,Energy Ball,,,,,
,,Dazzling Gleam,,,,,
,,Moonblast,,,,,
,,Flamethrower,,,,,
,,Thunderbolt,,,,,
,,Rock Slide,,,,,
,,Muddy Water,,,,,
,,Flare Blitz,,,,,
,,Leaf Blade,,,,,
,,Volt Switch,,,,,
,,Thunderbolt,,,,,
,,Rock Slide,,,,,
,,Nature's Madness,,,,,
,,Will-O-Wisp,,,,,
,,Psyshock,,,,,
,,Meteor Mash,,,,,
,,Fire Fang,,,,,
,,Taunt,,,,,
,,Flare Blitz,,,,,
,,High Horsepower,,,,,
,,Protect,,,,,
,,Aurora Veil,,,,,
,,Sky Drop,,,,,
,,Ice Beam,,,,,
,,,Recover,,,,
,,,Sky Drop,,,,
,,,Extreme Speed,,,,
,,,Swords Dance,,,,
,,,Substitute,,,,
,,,Toxic,,,,
,,,Dazzling Gleam,,,,
,,,Calm Mind,,,,
,,,Bulldoze,,,,
,,,Curse,,,,
,,,Sacred Sword,,,,
,,,Recover,,,,
,,,Ice Beam,,,,
,,,Substitute,,,,
,,,Dazzling Gleam,,,,
,,,Substitute,,,,
,,,Helping Hand,,,,
,,,Heavy Slam,,,,
,,,Substitute,,,,
,,,Helping Hand,,,,
,,,Ice Beam,,,,
,,,High Horsepower,,,,
,,,Substitute,,,,
,,,Dazzling Gleam,,,,
,,,Encore,,,,
,,,Volt Switch,,,,
,,,Calm Mind,,,,
,,,Leech Seed,,,,
,,,Recover,,,,
,,,Earthquake,,,,
,,,Moonblast,,,,
,,,Extreme Speed,,,,
,,,Swords Dance,,,,
,,,Hidden Power,,,,
,,,Ice Beam,,,,
,,,Curse,,,,
,,,Sky Drop,,,,
,,,Protect,,,,
,,,Thunderbolt,,,,
,,,Hammer Arm,,,,
,,,Swords Dance,,,,
,,,Tailwind,,,,
,,,Wild Charge,,,,
,,,Curse,,,,
,,,Heavy Slam,,,,
